feature,importance
num__thal,0.14519531912333755
num__cp,0.13591341381202768
num__thalach,0.11843707013250335
num__ca,0.10982255965757108
num__oldpeak,0.10162228712523139
num__chol,0.08146327337112179
num__age,0.07564781239564215
num__trestbps,0.06878451267695956
num__exang,0.05666507070297684
num__slope,0.0446237117807571
num__sex,0.03781677488963269
num__restecg,0.014854273307275567
num__fbs,0.009153921024963292
